YearMonth,Value
199606,0.3532
199607,0.3221
199608,0.3139
199609,0.2649
199610,0.2272
199611,0.2800
199612,0.3848
199701,0.3722
199702,0.4259
199703,0.4613
199704,0.4506
199705,0.4218
199706,0.5306
199707,0.5064
199708,0.5442
199709,0.6205
199710,0.6443
199711,0.5830
199712,0.6263
199801,0.6043
199802,0.8618
199803,0.6394
199804,0.7312
199805,0.6660
199806,0.6622
199807,0.7313
199808,0.6772
199809,0.5225
199810,0.4943
199811,0.4091
199812,0.5787
199901,0.4967
199902,0.6676
199903,0.3665
199904,0.4544
199905,0.4062
199906,0.4169
199907,0.3997
199908,0.3663
199909,0.3993
199910,0.3752
199911,0.3652
199912,0.5723
200001,0.3414
200002,0.5378
200003,0.5523
200004,0.6285
200005,0.4637
200006,0.4048
200007,0.3887
200008,0.4532
200009,0.4379
200010,0.3008
200011,0.2566
200012,0.3157
200101,0.4685
200102,0.3904
200103,0.6233
200104,0.5603
200105,0.5931
200106,0.5325
200107,0.5525
200108,0.5979
200109,0.5010
200110,0.4995
200111,0.6881
200112,0.5045
200201,0.6915
200202,0.7834
200203,0.7865
200204,0.5669
200205,0.5593
200206,0.5825
200207,0.6181
200208,0.5333
200209,0.5638
200210,0.4762
200211,0.5885
200212,0.4336
200301,0.6838
200302,0.5567
200303,0.5649
200304,0.5546
200305,0.5933
200306,0.5367
200307,0.5411
200308,0.6184
200309,0.6395
200310,0.7251
200311,0.5760
200312,0.7353
200401,0.5945
200402,0.7194
200403,0.6961
200404,0.5946
200405,0.4482
200406,0.4736
200407,0.4792
200408,0.5174
200409,0.5321
200410,0.6177
200411,0.7613
200412,0.5070
200501,0.6218
200502,0.5143
200503,0.6927
200504,0.7288
200505,0.6564
200506,0.6702
200507,0.6581
200508,0.6234
200509,0.6851
200510,0.6905
200511,0.7263
200512,0.6203
200601,0.4560
200602,0.6191
200603,0.5952
200604,0.5203
200605,0.5507
200606,0.6375
200607,0.6195
200608,0.6228
200609,0.6335
200610,0.6823
200611,0.6484
200612,0.7714
200701,0.8847
200702,0.6644
200703,0.6686
200704,0.7378
200705,0.6085
200706,0.5381
200707,0.5272
200708,0.5525
200709,0.5786
200710,0.5681
200711,0.5204
200712,0.4885
200801,0.2750
200802,0.3817
200803,0.7659
200804,0.4822
200805,0.4979
200806,0.5293
200807,0.5782
200808,0.5556
200809,0.5296
200810,0.6694
200811,0.6708
200812,0.5632
200901,0.5929
200902,0.5653
200903,0.5777
200904,0.6524
200905,0.5883
200906,0.6733
200907,0.6444
200908,0.6980
200909,0.7083
200910,0.6407
200911,0.6717
200912,0.6137
201001,0.6976
201002,0.7032
201003,0.8475
201004,0.8299
201005,0.7570
201006,0.7322
201007,0.7286
201008,0.6586
201009,0.5724
201010,0.6264
201011,0.7716
201012,0.4883
201101,0.4680
201102,0.4928
201103,0.5891
201104,0.6555
201105,0.5743
201106,0.6456
201107,0.6303
201108,0.6137
201109,0.5995
201110,0.6348
201111,0.4839
201112,0.5451
201201,0.4204
201202,0.4199
201203,0.5210
201204,0.7302
201205,0.7169
201206,0.7014
201207,0.6850
201208,0.6679
201209,0.7241
201210,0.7024
201211,0.7084
201212,0.4620
201301,0.5887
201302,0.6346
201303,0.6126
201304,0.5607
201305,0.7141
201306,0.6858
201307,0.6689
201308,0.6602
201309,0.6838
201310,0.6786
201311,0.8290
201312,0.6983
201401,0.6936
201402,0.4772
201403,0.7689
201404,0.8009
201405,0.7934
201406,0.7634
201407,0.6978
201408,0.8008
201409,0.7909
201410,0.7859
201411,0.6914
201412,0.8308
201501,0.8150
201502,0.8848
201503,0.9019
201504,0.7782
201505,0.8589
201506,0.8859
201507,0.8114
201508,0.8745
201509,0.9276
201510,0.9911
201511,0.9676
201512,1.1204
201601,1.0467
